# ACTS Test Suite Generation: Tue Apr 11 16:50:44 CEST 2023
#  '*' represents don't care value 
# Degree of interaction coverage: 5
# Number of parameters: 5
# Maximum number of values per parameter: 4
# Number of configurations: 144
Registration,Name_and_surname,Destinace,Datum_narozeni,Sleva
true,vasiliy pupkin,Praha,02/03/2005,Slevovy kupon
true,vasiliy pupkin,Kyiv,02/03/2005,Slevovy kupon
false,vasiliy pupkin,Praha,02/03/2005,Slevovy kupon
false,vasiliy pupkin,Kyiv,02/03/2005,Slevovy kupon
true,:equal45DD,Praha,02/03/2005,Student
true,:equal45DD,Kyiv,02/03/2005,Student
false,:equal45DD,Praha,02/03/2005,Student
false,:equal45DD,Kyiv,02/03/2005,Student
true,:equal45DD,Praha,02/03/2005,Duchodce
true,:equal45DD,Kyiv,02/03/2005,Duchodce
false,:equal45DD,Praha,02/03/2005,Duchodce
false,:equal45DD,Kyiv,02/03/2005,Duchodce
true,:equal45DD,Praha,02/03/2005,Slevovy kupon
true,:equal45DD,Kyiv,02/03/2005,Slevovy kupon
false,:equal45DD,Praha,02/03/2005,Slevovy kupon
false,:equal45DD,Kyiv,02/03/2005,Slevovy kupon
true,null,Praha,2004-07-23,Student
true,null,Kyiv,2004-07-23,Student
false,null,Praha,2004-07-23,Student
false,null,Kyiv,2004-07-23,Student
true,null,Praha,2004-07-23,Duchodce
true,null,Kyiv,2004-07-23,Duchodce
false,null,Praha,2004-07-23,Duchodce
false,null,Kyiv,2004-07-23,Duchodce
true,null,Praha,2004-07-23,Slevovy kupon
true,null,Kyiv,2004-07-23,Slevovy kupon
false,null,Praha,2004-07-23,Slevovy kupon
false,null,Kyiv,2004-07-23,Slevovy kupon
true,vasiliy pupkin,Praha,2004-07-23,Student
true,vasiliy pupkin,Kyiv,2004-07-23,Student
false,vasiliy pupkin,Praha,2004-07-23,Student
false,vasiliy pupkin,Kyiv,2004-07-23,Student
true,vasiliy pupkin,Praha,2004-07-23,Duchodce
true,vasiliy pupkin,Kyiv,2004-07-23,Duchodce
false,vasiliy pupkin,Praha,2004-07-23,Duchodce
false,vasiliy pupkin,Kyiv,2004-07-23,Duchodce
true,vasiliy pupkin,Praha,2004-07-23,Slevovy kupon
true,vasiliy pupkin,Kyiv,2004-07-23,Slevovy kupon
false,vasiliy pupkin,Praha,2004-07-23,Slevovy kupon
false,vasiliy pupkin,Kyiv,2004-07-23,Slevovy kupon
true,:equal45DD,Praha,2004-07-23,Student
true,:equal45DD,Kyiv,2004-07-23,Student
false,:equal45DD,Praha,2004-07-23,Student
false,:equal45DD,Kyiv,2004-07-23,Student
true,:equal45DD,Praha,2004-07-23,Duchodce
true,:equal45DD,Kyiv,2004-07-23,Duchodce
false,:equal45DD,Praha,2004-07-23,Duchodce
false,:equal45DD,Kyiv,2004-07-23,Duchodce
true,:equal45DD,Praha,2004-07-23,Slevovy kupon
true,:equal45DD,Kyiv,2004-07-23,Slevovy kupon
false,:equal45DD,Praha,2004-07-23,Slevovy kupon
false,:equal45DD,Kyiv,2004-07-23,Slevovy kupon
true,null,Praha,14/08/1488,Student
true,null,Kyiv,14/08/1488,Student
false,null,Praha,14/08/1488,Student
false,null,Kyiv,14/08/1488,Student
true,null,Praha,14/08/1488,Duchodce
true,null,Kyiv,14/08/1488,Duchodce
false,null,Praha,14/08/1488,Duchodce
false,null,Kyiv,14/08/1488,Duchodce
true,null,Praha,14/08/1488,Slevovy kupon
true,null,Kyiv,14/08/1488,Slevovy kupon
false,null,Praha,14/08/1488,Slevovy kupon
false,null,Kyiv,14/08/1488,Slevovy kupon
true,vasiliy pupkin,Praha,14/08/1488,Student
true,vasiliy pupkin,Kyiv,14/08/1488,Student
false,vasiliy pupkin,Praha,14/08/1488,Student
false,vasiliy pupkin,Kyiv,14/08/1488,Student
true,vasiliy pupkin,Praha,14/08/1488,Duchodce
true,vasiliy pupkin,Kyiv,14/08/1488,Duchodce
false,vasiliy pupkin,Praha,14/08/1488,Duchodce
false,vasiliy pupkin,Kyiv,14/08/1488,Duchodce
true,vasiliy pupkin,Praha,14/08/1488,Slevovy kupon
true,vasiliy pupkin,Kyiv,14/08/1488,Slevovy kupon
false,vasiliy pupkin,Praha,14/08/1488,Slevovy kupon
false,vasiliy pupkin,Kyiv,14/08/1488,Slevovy kupon
true,:equal45DD,Praha,14/08/1488,Student
true,:equal45DD,Kyiv,14/08/1488,Student
false,:equal45DD,Praha,14/08/1488,Student
false,:equal45DD,Kyiv,14/08/1488,Student
true,:equal45DD,Praha,14/08/1488,Duchodce
true,:equal45DD,Kyiv,14/08/1488,Duchodce
false,:equal45DD,Praha,14/08/1488,Duchodce
false,:equal45DD,Kyiv,14/08/1488,Duchodce
true,:equal45DD,Praha,14/08/1488,Slevovy kupon
true,:equal45DD,Kyiv,14/08/1488,Slevovy kupon
false,:equal45DD,Praha,14/08/1488,Slevovy kupon
false,:equal45DD,Kyiv,14/08/1488,Slevovy kupon
